"Subject Code","Course Number","Course Title","Course Description","Requirements","Credits - Academic Credit - Units","Credits - Academic Credit - Credit Hours Max","Credits - Academic Credit - Credit Hours Value","Credits - Academic Credit - Credit Hours Operator","Prerequisites"
"ACT","612","Financial Reporting of Operations","This course examines the foundations of financial accounting and reporting. We will examine accounting issues from the point of view of the preparer of the financial statements as well as from the perspective of the auditor and users of financial statements. We will review the accounting cycle and cover US and international financial reporting standards for the reporting of cash, receivables, inventories, and long-lived tangible and intangible assets. We will take an analytical and critical approach to the preparation and use of financial reports, particularly to assessing the ¿quality of earnings¿ reported in the financial statements.","No","3","3","-","-","-"
"ACT","615","Tax Strategy","This course provides a fundamental knowledge of taxes for individuals, corporations, partnerships, and S corporations. Topics include the types of taxes, the role of the federal income tax, tax planning for income and deductions, income measurement, tax accounting, business expenses and losses, depreciation and cost recovery, passive activity gains and losses, taxation of property transactions, non-recognition transactions, tax credits, and the alternative minimum tax. We will lay the foundation for understanding the federal tax policy and basic concepts that are common to most tax provisions. This course should enable you to understand the role of taxes in decision-making and risk management.","No","3","3","-","-","-"
"ACT","616","Smart Tax: Winning Ideas from Tax Professionals","This course explores hot topics in corporate tax and highlights strategies and cutting-edge insights from experienced tax professionals. Designed for students interested in consulting, finance, accounting, or entrepreneurship, Smart Tax equips future decision-makers with practical tools to navigate the complex and evolving tax landscape. Topics include entity formation, corporate acquisitions, and bankruptcy-related tax implications. Students will also examine high-impact areas such as research and development (R&D) tax credits, and transfer pricing. Through real-world case studies students will learn how to apply tax knowledge to identify value-creating strategies. The course bridges theory with practice and prepares students to contribute immediately in professional tax, finance, consulting, or advisory roles. Note: The graduate-level version of this course (ACT 616) includes an additional learning objective and project requirement beyond what is expected in the undergraduate course.","No","3","3","-","-","-"
"ACT","618","Auditing","In this course, you will learn how to make professional judgments involved in providing audits and other assurance services, with a focus on audits of financial statements. You will develop a broad theoretical understanding of fundamental auditing concepts (e.g., assertions, audit risk, materiality, risk assessment, client acceptance, planning, internal control, evidence, reporting, audit quality). The course will provide you with an understanding of why auditors do the things they do (or, in some cases, why they should do the things they should do).","No","3","3","-","-","-"
"ACT","625","Financial Reporting of Debt & Equity","This course builds on the foundational knowledge learned in ACT 200 and focuses on financing instruments, such as bonds, leases, and stocks. You will develop the skills and knowledge to read, understand, and evaluate the financial reporting of debt and equity on both the face of the financial statements and the detailed footnotes. We will also cover accounting for income taxes, stock compensation, treasury stock buybacks, derivatives. and earnings per share. This course will teach you about these transactions from the perspective of both the preparer and user of a company's financial statements, using real-world examples and cases.","No","3","3","-","-","-"
"ACT","650","Accounting for Mergers & Acquisitions","In this course, you¿ll learn how to report and analyze mergers and acquisitions, joint ventures and affiliate holdings, noncontrolling interests, goodwill and bargain purchases, intercompany transfers of inventory and long-lived assets, foreign currency transactions, derivative financial instruments and hedging transactions, investments in foreign subsidiaries, operating segments, discontinued operations, and equity carve-outs and spin-offs. Throughout the course, you¿ll analyze the effects of these transactions on the financial performance of well-known firms operating around the world.","No","3","3","-","-","-"
"ACT","677","Machine Learning for Fundamental Analysis","This course covers how fundamental analysis, valuation models, and portfolio optimization can be used for investing, both conceptually and practically. You will learn how to design an ""end-to-end"" accounting-based investing system from concept to implementation, including state-of-the-art accounting-based valuation models, innovative methods such as machine learning and artificial intelligence, and the coding skills required to calibrate these models for forecasting and prediction.","No","3","3","-","-","-"
"ACT","697","Directed Study","A Directed Study (DS) is conducted with permission and semi-autonomously, under the supervision of a Goizueta faculty member. The content should represent a line of intellectual inquiry that is aligned with, but falls outside, what is available in the context of the School's elective offerings. It replaces an academic course and may carry variable academic hours. The DS project should contain significant & commensurate content that carries the rigor, time commitment & standards of an elective in the area of study.","No","1","16","-","-","-"
"BUS","110","Goizueta School Seminar","BUS 110 is a 2-credit hour class that is designed to engage freshman, sophomore, junior and senior Goizueta Scholars each fall. The course changes topics each year, and is designed to creatively integrate business concepts and ideas into specific problem-solving activities. Students work in small groups on a project throughout the semester, in addition to reading and discussing a new book each term. Topics have ranged from housing shortages to block-chain and digital currency.","No","1","1","-","-","-"
"BUS","290","Tech Toolbox A: Excel","Provides students with a baseline set of Excel skills necessary for success in the BBA Program and workforce. Topics will include sheet formatting, formulas, sorting and filtering, plotting, pivot tables, basic functions common in business, vlookup, and multiple worksheet applications.","No","1","1","-","-","-"
"BUS","299R","Special Topics","-","No","1","4","-","-","-"
"BUS","300","BBA Board Room","Board Rooms build community, engagement, and cohesion while connecting students to each other and to resources at Goizueta. Each student will stay in the same Room for their tenure in the program. Cohorts will meet monthly, with 1-2 additional community events offered each semester. Each Room will have one lead faculty/staff member. At each meeting, specific content around a provided subject will be developed and led by the student members. Individual sessions will feature program announcements, a student-led discussion of a contemporary problem, networking, and celebration of achievements.","No","0.5","0.5","-","-","-"
"BUS","300B","BBA Boardroom B","Board Rooms build community, engagement, and cohesion while connecting students to each other and to resources at Goizueta. Each student will stay in the same Room for their tenure in the program. Cohorts will meet monthly, with 1-2 additional community events offered each semester. Each Room will have one lead faculty/staff member. At each meeting, specific content around a provided subject will be developed and led by the student members. Individual sessions will feature program announcements, a student-led discussion of a contemporary problem, networking, and celebration of achievements.","No","0.5","0.5","-","-","-"
"BUS","350","Data and Decision Analytics","Teaches students to deal with, manipulate, and gain insight from data to solve problems in the 21st-century business context. Students will analyze business data and perform predictive analytics by working with real-world data across a variety of industries and business contexts to engage in applied problem-solving. The class will familiarize students with a set of increasingly sophisticated tools and techniques (models and methodologies) for data-based business decision making. Students will additionally be exposed to a variety of technological tools commonly used in business analytics.","No","3","3","-","-","-"
"BUS","360","Design Thinking","Design thinking is a powerful approach for developing practical, creative solutions to real-world problems. It uses the mindset & methods of design practitioners to identify & address human needs by developing functional & emotionally meaningful products, services, processes, & spaces. In this course, you will learn the fundamental phases of the design thinking process. You will observe & interview real users in the field to get a better understanding of their challenges around experience with a product, service, process, or space.","No","3","3","-","-","-"
"BUS","365","Business Communication Strategy","Communication skills are critical to your success at Goizueta. Business Communication Strategy creates the foundation for strong communication & introduces the dynamics of interpersonal & organizational communication. You will create, develop, & deliver professional presentations & documents, individually and in a team. Through the DISC® assessment, you will increase your self-awareness, which helps you identify your most productive communication style.","No","3","3","-","-","-"
"BUS","380","Professional Development","Professional Development is composed of a series of sessions and assignments intended to help you prepare for your career and position you for success at Goizueta and beyond.  Professional Development incorporates career education and exploration with tools you'll use to successfully navigate your internship search.  You will learn about different industries and functions, you will explore how your personal interests align with potential careers, you will develop and refine your personal brand, and you will sharpen your interview skills.  After you complete this course, you will have a list of target companies, you will have started to build your professional network, and you will have laid the foundation for a successful internship and full-time search at Goizueta.  You will have a better understanding of yourself and your interests, and you'll be able to articulate your experiences through your personal brand materials, networking, and interviews.","No","2","2","-","-","-"
"BUS","381","Personal Development","Through this course, BBAs will gain knowledge and strategies to enhance their academic and professional journeys. Topics covered will include navigating ambiguity and stress, understanding and applying the concept of locus of control, and maximizing personal and professional opportunities. This course will include guest experts in these fields as well as alumni who will share their personal experiences, failures, pivots, and lessons learned along the way.","No","0.5","0.5","-","-","-"
"BUS","383","Experiential Team Dynamics and Leadership","This course will assist students in navigating the intricacies of working in teams. Students will build teamwork and leadership skills and will engage in debriefing, reflection, and coaching. Recommended to be taken in junior year.","No","0.5","0.5","-","-","-"
"BUS","390","Tech Toolbox B","Provides students with technological skills to support their areas of study and elective coursework. Potential topics include: Intro to R, Intro to Python, Google Ad Words, Simio (Simulation Software), Intermediate and Advanced Excel Modules, Intro to Databases, Advanced Document Editing (Powerpoint, Word), Web Authoring (Wordpress, HTML, Javascript, CSS), AWS data tools, productivity tools (Slack, IFTTT, Docker), ARGUS (Real Estate), Salesforce CRM, Bloomberg Terminal, Data Consumption and Preparation Tools (Tableau Prep, Alteryx), Power BI, and Blockchain.","No","0.5","0.5","-","-","-"
"BUS","390A","TechTool: Getting Started with Python","This course invites students into the world of Python, a highly regarded programming language with extensive applications in data analysis, automation, and machine learning within diverse business contexts. Requiring no previous programming knowledge, the course is designed to impart a beginner level understanding of Python, its syntax, its setup and navigation protocols, and its significance in the business landscape. It enables students to engage with Python scripts, interpret the output, and grasp the structure and syntax of straightforward Python scripts. Upon course completion, students will gain the ability to enact simple yet significant modifications to existing scripts, enhancing their ability to leverage Python in their business studies and careers.","No","0.5","0.5","-","-","-"
"BUS","390B","TechTool: Introduction to R","This course is an introduction to R, a statistical computing program, and R Studio, the platform and programming interface for R. These tools, R and R Studio, are designed to help analysts work with data to perform a range of statistical analyses. This tool works side-by-side with Excel -- R can import data from Excel, clean and subdivide the data, and then export it back to Excel. This toolkit helps students get a jumpstart in working with R and introduces them to data visualization packages such as ggplot, ggthemes, and Stargazer.","No","0.5","0.5","-","-","-"
"BUS","390C","TechTool: Getting Started with SQL","In this class, students use MySQL's command line interface to learn about the Structured Query Language (SQL). After installing MySQL on their own computer, students will be instructed on how to create & delete databases; create & delete tables; add data to simple tables; and query tables using SQL. Students will also learn about different datatypes in SQL, and brief overviews of additional operations in SQL (e.g., table joins) will be provided.","No","0.5","0.5","-","-","-"
"BUS","390D","TechTool: Using Generative AI for Text & Images","Generative is AI poised to disrupt the economy. While many are concerned about it replacing workers, research has shown that it can increase both employee productivity and job satisfaction. This course will introduce you to generative AI tools for text (ChatGPT) and images (Stable Diffusion). Viewing these technologies in a collaborative light, we will work through a series of applications so that you can gain hands-on experience in interacting with these tools so that you can incorporate them into your professional and personal activities.","No","0.5","0.5","-","-","-"
